Unnamed: 0,Mois,Demande totale de chaleur (MWh),Chauffage des locaux (MWh),Eau chaude sanitaire (MWh),Chaleur (centre énergétique) (MWh),Demande totale de froid (MWh),Refroidissement des locaux (MWh),Refroidissement de procédé (MWh),Refroidissement (centre énergétique) (MWh),Charges électriques (MWh),E-mobilité (MWh),Puissance de fonctionnement (MWh),Travail de pompe (MWh),Température de l'air (°C)
,"Jeu, 15.03. 14:00",1795,1293.8,501.2,0,0,0,0,0,0,0,329.4,0,18.10000038146973
,"Jeu, 15.03. 15:00",1881.5,1384,497.5,0,0,0,0,0,0,0,341.9,0,17.70000076293945
,"Jeu, 15.03. 16:00",1944.8,1423,521.8,0,0,0,0,0,0,0,363.8,0,16.89999961853027
,"Jeu, 15.03. 17:00",2353.1,1642.9,710.2,0,0,0,0,0,0,0,466.2,0,15.80000019073486
,"Jeu, 15.03. 18:00",2554.4,1856.9,697.5,0,0,0,0,0,0,0,533.5,0,13.5
,"Jeu, 15.03. 19:00",3280.1,2289.6,990.5,0,0,0,0,0,0,0,702.4,0,13.10000038146973
,"Jeu, 15.03. 20:00",3758.4,2744.7,1013.7,0,0,0,0,0,0,0,842.6,0,10.89999961853027
,"Jeu, 15.03. 21:00",3970.4,2986.3,984.1,0,0,0,0,0,0,0,915.7,0,9.399999618530273
,"Jeu, 15.03. 22:00",2761.5,2245,516.5,0,0,0,0,0,0,0,676.3,0,6.599999904632568
,"Jeu, 15.03. 23:00",2556.5,2230.2,326.3,0,0,0,0,0,0,0,614.4,0,6.300000190734863
,"Ven, 16.03. 00:00",2558.4,2335.1,223.3,0,0,0,0,0,0,0,612.6,0,5.699999809265137
,"Ven, 16.03. 01:00",2680,2561.9,118.1,0,0,0,0,0,0,0,645.4,0,4.699999809265137
,"Ven, 16.03. 02:00",2636.1,2602,34.1,0,0,0,0,0,0,0,638.5,0,3.900000095367432
,"Ven, 16.03. 03:00",2782.5,2745.5,37,0,0,0,0,0,0,0,663.8,0,4.400000095367432
,"Ven, 16.03. 04:00",3108.1,2986.8,121.3,0,0,0,0,0,0,0,753.6,0,4.300000190734863
,"Ven, 16.03. 05:00",4533.6,4182.7,350.9,0,0,0,0,0,0,0,1168.3,0,2.700000047683716
,"Ven, 16.03. 06:00",5809.2,4864.7,944.5,0,0,0,0,0,0,0,1548.1,0,2.900000095367432
,"Ven, 16.03. 07:00",5698,4720,978,0,0,0,0,0,0,0,1528.8,0,3.200000047683716
,"Ven, 16.03. 08:00",4272.4,3470.2,802.2,0,0,0,0,0,0,0,1073.8,0,6.199999809265137
,"Ven, 16.03. 09:00",3538.3,2833.3,705,0,0,0,0,0,0,0,817.5,0,9.300000190734863
,"Ven, 16.03. 10:00",2936.4,2288.1,648.3,0,0,0,0,0,0,0,639.4,0,11.60000038146973
,"Ven, 16.03. 11:00",2278.1,1683.3,594.8,0,0,0,0,0,0,0,473.6,0,13.89999961853027
,"Ven, 16.03. 12:00",1799.3,1261.5,537.8,0,0,0,0,0,0,0,366.7,0,15.30000019073486
,"Ven, 16.03. 13:00",1891.5,1339.8,551.7,0,0,0,0,0,0,0,363,0,16.79999923706055
,"Ven, 16.03. 14:00",1741.4,1246.1,495.3,0,0,0,0,0,0,0,324.6,0,17.5
,"Ven, 16.03. 15:00",1915.2,1399.2,516,0,0,0,0,0,0,0,349.9,0,17.60000038146973
,"Ven, 16.03. 16:00",1924.8,1398.5,526.3,0,0,0,0,0,0,0,357.5,0,17.20000076293945
,"Ven, 16.03. 17:00",2308.1,1598.8,709.3,0,0,0,0,0,0,0,455.3,0,16
