saison,heure,bus,load_mode,alpha,P_pv_available,Q_pv_max,S_inv_max,P_hp_max,P_load,Q_load
Été,18,49,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,50,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,51,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,52,fixed,1.0,0.0008077587064900198,0.021764479059329652,0.06970211700599871,-0.007925803303470765,-0.2207233705189959,-0.1069012073966653
Été,18,53,fixed,1.0,0.0013395005495029646,0.036090635982057966,0.11558253818916775,-0.013142849921249903,-0.3660113709323645,-0.1772673975645508
Été,18,54,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,55,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,56,fixed,1.0,0.0013674172867573404,0.03684217065580832,0.1179893753857308,-0.013416530535596147,-0.3736330220548142,-0.1809587316785154
Été,18,57,fixed,1.0,0.0011551604351595008,0.031123895232209414,0.09967623765513291,-0.011334150060558403,-0.3156414192412542,-0.1528721165409313
Été,18,58,fixed,1.0,0.00022282021625300087,0.006001658767185308,0.01922069076314997,-0.00218557801239313,-0.0608655207499749,-0.02947851712167983
Été,18,59,fixed,1.0,0.0004761633639213536,0.012877187477421144,0.04124000513922868,-0.004689386535268645,-0.1305933496075575,-0.0632492459597578
Été,18,60,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,61,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,62,fixed,1.0,0.0008010181533641722,0.021661118200374883,0.069371097335596,-0.007888163172727449,-0.2196751415627207,-0.1063935269422101
Été,18,63,fixed,1.0,0.0007054550465286812,0.018996499385999854,0.06083748750879253,-0.006917809389211969,-0.192652043777843,-0.09330564334379901
Été,18,64,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,65,fixed,1.0,0.0003099587360902855,0.0083469317505068,0.026731575422914346,-0.0030396380754931524,-0.08464998883922877,-0.040997860769116
Été,18,66,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,67,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,68,fixed,1.0,0.0004027999978095982,0.010847069946244943,0.03473842569373695,-0.003950094214456909,-0.1100050146968337,-0.05327786026068942
Été,18,69,fixed,1.0,0.0002501439867055602,0.006764152988580986,0.02166262660233271,-0.0024632496810942754,-0.06859831757405357,-0.03322368155580108
Été,18,70,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,71,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,18,72,fixed,1.0,0.00028482337855228524,0.0077023229957975,0.024667175226550424,-0.0028048958524611203,-0.078112721550743,-0.03783171771606893
Été,18,73,fixed,1.0,0.0003139096112612615,0.008488886093932859,0.027186193161662913,-0.0030913324992834614,-0.08608961167859923,-0.04169510193285255
Été,18,74,fixed,1.0,0.0006688337575101536,0.018090693680462185,0.05793658760211531,-0.0065879490772016245,-0.1834658607400318,-0.08885657183950055
Été,18,75,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,0,fixed,1.0,0.0,0.0357561043406299,0.11451117950654252,-0.005279476471589459,-0.3626187351040513,-0.1756242690392338
Été,0,1,fixed,1.0,0.0,0.006834114836666951,0.02188668383374866,-0.0010090738113023412,-0.06930783214020408,-0.03356731514389221
Été,0,2,fixed,1.0,0.0,0.011559093993422198,0.037018727616523354,-0.001706728568352994,-0.1172259707856573,-0.05677512891257016
Été,0,3,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,4,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,5,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,6,fixed,1.0,0.0,0.006954575394786602,0.02227246636930926,-0.0010268601080501269,-0.070529476836146,-0.03415898467439479
Été,0,7,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Été,0,8,fixed,1.0,0.0,0.014707763517958288,0.04710254037464946,-0.002171637343459958,-0.1491580445197233,-0.0722405380752905
Été,0,9,fixed,1.0,0.0,0.0,0.0,0.0,0.0,0.0
